order_id,order_date,shipped_date,username,email,phone_number,place,country,postal_code,product,product_category,product_price,quantity,total_amount,payment_method,payment_status,shipping_provider,order_status,delivery_address,tracking_number
1,2024-03-19,2024-11-22,ngreen,dlee@example.com,758-955-9667,Toddmouth,Bermuda,67625,Smartphone,Electronics,853.28,3,2559.84,Cash on Delivery,Paid,USPS,Pending,"805 Amanda Fort, Port Ashley, OR 37310",32000146-2ec5-4609-a4b1-1445cbc4f268
2,2025-07-10,2025-07-10,gabrielleperez,joshuapark@example.com,987.848.8000x6974,South Justin,Israel,69047,Laptop,Electronics,868.7,1,868.7,PayPal,Paid,USPS,Pending,"213 Young Brooks, New Peter, OR 92543",248b8039-34ca-4a79-a524-add85944e35f
3,2025-08-22,2025-09-02,scott58,powelldaniel@example.net,9096709331,East Julie,United States Minor Outlying Islands,50719,Book,Education,616.49,1,616.49,Cash on Delivery,Unpaid,FedEx,Delivered,"2990 Myers Ville, Harrisonmouth, KS 89086",d3f5c07d-b4d5-4d9f-914e-d5101df8e48e
4,2024-04-09,2024-06-07,larryreed,chicks@example.com,001-580-656-9212x9923,South Stephanie,Zimbabwe,72597,Headphones,Electronics,171.41,2,342.82,Cash on Delivery,Unpaid,USPS,Cancelled,"3942 David Wells Apt. 520, New Andrewstad, PR 67079",f06df86a-e766-4753-9a60-3cbbd551684f
5,2024-12-05,2025-08-02,jeffrey54,xbrewer@example.org,616.897.5203x8319,Port Marktown,Zambia,34059,Backpack,Accessories,434.3,1,434.3,Cash on Delivery,Unpaid,UPS,Delivered,"131 Greene Curve, New Samuelside, RI 67302",7eb63008-f8d1-4eb2-a16f-cc58bd18566f
6,2025-08-19,2025-09-07,dominique95,bakerdonald@example.net,294.862.2070x73031,New Melanie,Gibraltar,33270,Laptop,Electronics,54.04,3,162.12,PayPal,Paid,UPS,Shipped,"607 Smith Trail, West Cassandramouth, OH 05722",5ac2f3ad-fc29-4c5e-b600-53ddf8ecee68
7,2023-12-01,2024-05-26,tuckerrobert,ibaldwin@example.org,728.780.1323x65620,Randystad,French Polynesia,49534,Book,Education,109.03,5,545.15,Credit Card,Paid,DHL,Cancelled,"792 Lisa Locks Suite 489, West Sarah, DE 69587",2ace38ea-9284-4e1b-b436-7c6ddc50836e
8,2024-10-01,2025-03-17,cherylbaldwin,susan38@example.net,(351)914-2174x15338,Lake Benjamin,Burundi,47800,Coffee Maker,Home Appliance,161.54,2,323.08,PayPal,Paid,FedEx,Delivered,"82773 Derrick Forks, Danielmouth, CO 04973",85827781-c027-4bcf-a9ee-60801adf9d70
9,2024-01-02,2024-11-19,nbrown,heather33@example.net,001-351-539-6727x0301,South Phyllis,Israel,31496,Watch,Fashion,107.37,2,214.74,Cash on Delivery,Unpaid,DHL,Delivered,"62778 Kimberly Walk Suite 869, Leestad, VI 59104",cea146d7-fa95-4cdb-bf1f-92a4ae6c366b
10,2025-01-14,2025-06-07,robinsonmike,zhester@example.com,851.887.6854,Rhodesfurt,Bosnia and Herzegovina,13228,Shoes,Fashion,163.56,1,163.56,Credit Card,Unpaid,DHL,Cancelled,"8768 Romero Vista Apt. 906, Riversmouth, UT 82525",7db2bba5-d07c-43c0-9d61-718037085b27
11,2023-11-30,2024-07-24,mrichards,paul56@example.net,(844)694-6227,Nicoleshire,Paraguay,12500,Backpack,Accessories,43.67,5,218.35,Cash on Delivery,Unpaid,FedEx,Pending,"1452 Meadows Corner, South Timothytown, ME 59857",256dfda7-6f54-4f22-a836-ed2462f6f5a3
12,2025-02-05,2025-08-07,garciamichael,stephenmanning@example.org,+1-707-984-5818x1428,Maryland,Swaziland,16710,Laptop,Electronics,437.28,5,2186.4,Cash on Delivery,Paid,UPS,Pending,"272 Caitlyn Expressway, Hardyville, AZ 36094",9950c0e8-d8bc-42ec-9cea-334b19b8f9ce
13,2024-11-04,2025-06-05,jacobguerra,kellywalls@example.net,+1-952-618-2413x753,Nicolebury,Luxembourg,73689,Coffee Maker,Home Appliance,756.51,4,3026.04,Credit Card,Paid,DHL,Shipped,"656 Perez Court, Lake Sherriside, HI 23966",d6386ab9-43d0-452e-839f-8974b1b77841
14,2024-11-09,2024-11-26,ashannon,matthewwilliams@example.net,001-461-897-6630x089,Port Francesville,Aruba,93283,Watch,Fashion,543.32,2,1086.64,Cash on Delivery,Unpaid,UPS,Delivered,"704 Hill Lodge, South Maryfort, IN 28580",922f91eb-2f62-4780-9fb0-7f3dd6d8fd6f
15,2023-10-01,2024-10-31,alicialopez,hardinjack@example.net,(872)567-6968,North Maryborough,Lebanon,49001,Smartphone,Electronics,776.17,5,3880.85,Debit Card,Unpaid,DHL,Shipped,"Unit 4091 Box 0648, DPO AP 03701",d0b21fe9-f3e9-4e2a-bd6c-0ed9c62210b9
16,2024-03-29,2024-04-22,nicholsonrickey,richardturner@example.org,837-668-8317x561,Sheltonview,Tajikistan,91427,Watch,Fashion,928.82,1,928.82,Debit Card,Paid,FedEx,Delivered,"USCGC Simmons, FPO AA 37847",cb953229-35bf-4e31-8d55-bfe23969f013
17,2023-09-26,2024-07-31,caroline54,skinnerdaniel@example.com,001-786-816-9509,Johnsonchester,Grenada,69630,Laptop,Electronics,20.35,5,101.75,Debit Card,Unpaid,USPS,Shipped,"7555 Kelly Springs Suite 111, Port Brian, PR 01118",10442e43-8be0-4008-b19e-fcf745be983f
18,2023-12-11,2025-08-06,michaeljones,miguel21@example.net,001-497-667-0772,Kellyhaven,Jersey,24913,Smartphone,Electronics,777.54,1,777.54,Cash on Delivery,Unpaid,UPS,Pending,"2890 Jamie Skyway Suite 167, Angelachester, TN 81819",6d6ab93a-0e2a-4ca8-931c-d27f21a7eaec
19,2025-04-16,2025-05-08,vtaylor,ryanmoreno@example.com,001-963-841-5099x59368,Maryfurt,Tokelau,11448,Coffee Maker,Home Appliance,428.86,5,2144.3,Cash on Delivery,Paid,UPS,Delivered,"04236 Brandon Walks, Jeffreyfort, KS 65328",421d1a4d-36a0-4d72-9ca9-2cd7d55e20a8
20,2024-02-28,2025-07-23,devinochoa,lisahurst@example.org,2442408990,Mayerberg,Spain,85726,Watch,Fashion,678.12,3,2034.36,Debit Card,Unpaid,UPS,Pending,"953 Matthews Walks Apt. 039, Greenside, GA 32849",99978fce-2d33-4258-81e7-d4d4ef3a3f85
21,2025-02-10,2025-07-09,virginiamosley,ann16@example.com,+1-243-468-7057x871,Port Johnshire,Kenya,11768,Backpack,Accessories,158.61,3,475.83,Debit Card,Paid,DHL,Cancelled,"238 Williams Ville Suite 235, New Brianna, AS 52079",ac15be6d-3282-4538-92ce-e70270ac6f32
22,2024-06-28,2025-07-08,anna09,kvillegas@example.org,(239)742-1963x8196,East Allison,Saint Vincent and the Grenadines,88156,Book,Education,685.66,1,685.66,Cash on Delivery,Unpaid,DHL,Shipped,"63027 Hopkins Corners Suite 071, Hintonhaven, KY 63310",15d7099d-f639-4c0d-bf7d-667621ea26d3
23,2024-03-08,2024-07-17,xthomas,ianvasquez@example.net,378.533.0447x693,Charlesland,United States Minor Outlying Islands,24955,Smartphone,Electronics,718.81,2,1437.62,PayPal,Paid,FedEx,Cancelled,"98632 Nicholas Pine, East Melanie, AZ 63307",44df25b6-cef3-4676-b0f8-1cd90cd0eb5b
24,2024-11-24,2024-12-04,david40,lraymond@example.net,889.745.3793x10778,West Melissa,Afghanistan,52625,Book,Education,604.24,4,2416.96,PayPal,Paid,FedEx,Shipped,"0276 Melanie Cove, West Robertstad, MH 42028",b5035f9a-f22f-4902-9a56-52fae01ff053
25,2024-04-21,2024-09-28,sherrypage,kellysara@example.com,+1-347-814-3457x13140,Millerchester,Tuvalu,12587,Watch,Fashion,95.61,1,95.61,Credit Card,Unpaid,USPS,Delivered,"12337 Michael Mountain Suite 693, Ricardoville, IA 66982",71e0fac0-9118-4128-a882-f5998ca56fc4
26,2024-08-25,2025-04-19,jonathanpeterson,amy11@example.com,001-673-469-2427x3794,Woodberg,Venezuela,22648,Laptop,Electronics,605.67,4,2422.68,Credit Card,Paid,FedEx,Shipped,"294 Christopher Mews, Port Nicholasbury, KY 33165",9fb1226f-cef7-4aca-af5d-2e3f07e947fe
27,2025-08-30,2025-09-09,mark62,james06@example.net,(748)490-7003x8254,Samuelshire,Netherlands Antilles,01992,Water Bottle,Accessories,356.39,3,1069.17,Debit Card,Paid,USPS,Delivered,"24933 Padilla Forges, New Hunterberg, NE 87534",12aa6046-7b9c-4f57-8546-69e78cb6a574
28,2025-07-04,2025-08-28,kiarasmith,cfranklin@example.com,953-388-0467,Harrisonton,Falkland Islands (Malvinas),92918,Headphones,Electronics,413.16,4,1652.64,PayPal,Paid,USPS,Cancelled,"043 Alyssa Rue, East Aaron, PW 28453",82e85329-d444-40ad-9f4d-6ab2827030e8
29,2023-11-11,2024-12-25,andrewevans,staceycollins@example.org,(205)715-0990,Cruzside,Argentina,21881,Watch,Fashion,235.92,4,943.68,Credit Card,Paid,USPS,Shipped,"5678 Michelle Run Suite 853, Andrewburgh, RI 90963",a39f6e4d-ef4c-4199-b7b3-348fb2c15a09
30,2024-03-18,2025-02-21,jameslong,eugene35@example.net,938.314.9779x60736,Juliaport,South Africa,62072,Desk Lamp,Home Appliance,109.36,4,437.44,Cash on Delivery,Paid,UPS,Pending,"528 Rebecca Well, Amberhaven, VI 34974",5610929e-ce02-4025-bca7-a09c7d8f9e16
31,2025-08-24,2025-09-06,stephensmichael,aflores@example.com,001-725-285-6047x3814,Armstrongfurt,Seychelles,26118,Desk Lamp,Home Appliance,136.09,4,544.36,Debit Card,Paid,FedEx,Shipped,"920 Sutton Run, North Mary, RI 58417",61b0b0d7-6699-4292-ada2-ee2d87e99380
32,2023-12-02,2023-12-23,pughronald,gregoryangela@example.org,846.690.0711x0784,Port Elizabeth,Qatar,82477,Water Bottle,Accessories,591.73,1,591.73,Cash on Delivery,Paid,USPS,Shipped,"Unit 5763 Box 7808, DPO AE 05610",f72a4b6b-233f-4313-8e89-91c228a5bffb
33,2024-03-22,2024-11-22,jonesdavid,jenny40@example.com,(662)422-7079x612,Juanberg,Lao People's Democratic Republic,96947,Desk Lamp,Home Appliance,54.77,1,54.77,Cash on Delivery,Paid,FedEx,Shipped,"5035 Marco Village Apt. 025, South William, DC 35768",57dce244-7b3d-4e31-9132-c8333a29d4f9
34,2025-06-25,2025-08-13,tfranco,geoffrey31@example.com,001-782-347-2618x1810,South Garrettside,Philippines,81166,Coffee Maker,Home Appliance,20.74,1,20.74,Debit Card,Paid,USPS,Shipped,"757 Lowe Plain, Port Stevenfurt, NM 19536",c15167f2-3769-4acc-91cc-dfbaf4ff3d79
35,2024-12-04,2025-09-02,reiddawn,vpark@example.org,341.484.6279,North Jennifer,French Guiana,36032,Shoes,Fashion,42.52,2,85.04,Credit Card,Unpaid,UPS,Shipped,"USNS Gonzalez, FPO AA 00614",af044e25-5569-4a72-b87d-7312416cffd7
36,2024-07-06,2025-09-04,fgilbert,rwells@example.com,603.677.9789x96903,Port Kristinaland,Azerbaijan,33843,Backpack,Accessories,551.22,5,2756.1,PayPal,Paid,FedEx,Pending,"USNS Herrera, FPO AE 69060",6609dc53-3312-4c43-8576-3c56190ca65c
37,2025-06-27,2025-07-13,rwang,lisa28@example.org,(473)502-2914,East Alexander,Dominica,49116,Laptop,Electronics,490.99,5,2454.95,Credit Card,Unpaid,USPS,Delivered,"529 Brown Green, New Sabrinabury, AZ 58054",84f2f9aa-25cb-48da-a849-1b7f8556910f
38,2024-02-12,2024-05-18,collinslauren,teresa05@example.org,(421)872-7163x109,Lake Lori,Croatia,25639,Headphones,Electronics,555.18,3,1665.54,Cash on Delivery,Unpaid,DHL,Delivered,"4419 Nichols Rapids, West Travisfort, AZ 18388",242a533d-8345-4dd9-8714-92bc296d66f7
39,2024-10-31,2025-07-01,kristen18,hendersonraymond@example.net,943.289.5163x2577,Josephside,Austria,80038,Watch,Fashion,572.51,5,2862.55,Debit Card,Unpaid,UPS,Delivered,"73836 Kenneth Lakes Apt. 216, Williamsfort, MI 83971",6d2ad277-8dec-4577-9434-378796c783e4
40,2024-05-03,2024-10-07,benjamin11,jane67@example.org,+1-721-928-4756x1857,North Erintown,Germany,95921,Water Bottle,Accessories,516.03,3,1548.09,Cash on Delivery,Paid,DHL,Shipped,"814 Calderon Court, Gabriellamouth, SD 30420",357b053e-baca-4d0b-bfec-ccde2e24e176
41,2024-05-13,2024-11-25,qbutler,david70@example.net,001-314-660-0456x723,Lake Loriville,Gambia,43842,Book,Education,608.7,4,2434.8,Debit Card,Paid,USPS,Delivered,"110 Wendy Locks, Lake Teresa, MP 11999",aaf99143-e143-4c2b-8706-928e32e0302b
42,2024-06-30,2025-07-31,fergusonwayne,carterpaul@example.com,(825)529-8692x205,New Maryburgh,Mauritius,33328,Book,Education,954.48,2,1908.96,Cash on Delivery,Paid,DHL,Shipped,"517 Hector Valleys, Port Peterbury, NV 52857",1c5d5dc3-968c-4ea0-8aec-77fb9552bd13
43,2025-08-18,2025-08-26,ftucker,julieterrell@example.com,(427)615-5365,Bethchester,Montserrat,84672,Smartphone,Electronics,747.75,5,3738.75,Cash on Delivery,Unpaid,USPS,Cancelled,"53246 Walker Fall Suite 162, South Heatherburgh, WV 30600",f08df6f4-c55a-47de-8c42-fc97101fafda
